Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Vehicle Type,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Cooking_with_microwave,Cooking_with_oven,Cooking_with_grill,Cooking_with_airfryer,Cooking_with_stove,Do You Recyle_Plastic,Do You Recyle_Paper,Do You Recyle_Metal,Do You Recyle_Glass,Carbon Footprint (kg/month)
normal,female,vegan,daily,natural gas,public,sometimes,279,frequently,4467,hybrid,extra large,2,10,4,10,Sometimes,0,0,0,0,0,1,0,0,0,3824.13
overweight,female,vegetarian,daily,coal,private,never,149,frequently,987,lpg,medium,5,6,9,11,Sometimes,1,0,0,0,1,0,0,0,0,991.13
normal,female,vegan,less frequently,wood,private,often,143,never,3463,lpg,small,1,10,4,8,No,1,1,1,1,0,1,1,1,0,2906.66
normal,male,vegetarian,more frequently,coal,walk/bicycle,often,112,frequently,3729,None,large,7,4,1,12,Yes,0,1,0,1,0,1,1,1,1,3152.88
normal,female,pescatarian,daily,electricity,walk/bicycle,often,383,very frequently,574,diesel,small,7,5,6,3,Sometimes,0,1,0,1,1,1,1,0,0,736.27
normal,female,omnivore,more frequently,wood,private,often,447,rarely,3794,hybrid,extra large,4,3,10,1,No,0,1,1,1,0,1,1,0,1,3362.52
underweight,male,pescatarian,twice a day,natural gas,private,never,243,very frequently,5000,petrol,small,0,6,0,2,Sometimes,1,0,1,0,1,0,1,1,1,4119.75
normal,male,vegetarian,more frequently,electricity,private,sometimes,333,never,1878,electric,large,4,1,4,3,No,1,1,1,0,0,1,0,1,1,1743.24
obese,female,vegetarian,more frequently,natural gas,public,never,326,rarely,1053,petrol,large,3,10,5,5,No,0,1,1,0,1,1,0,0,1,1086.37
overweight,female,vegan,less frequently,coal,private,sometimes,256,rarely,4437,None,extra large,7,6,9,9,Sometimes,1,0,0,0,1,0,1,1,0,3800.04
obese,male,vegan,twice a day,natural gas,private,often,413,very frequently,2102,lpg,extra large,8,9,0,7,No,1,0,0,0,0,0,1,1,0,1966.2
underweight,female,omnivore,twice a day,wood,walk/bicycle,never,136,rarely,197,hybrid,extra large,4,5,9,10,Yes,0,0,0,0,0,0,0,0,0,353.43
obese,male,vegetarian,daily,electricity,private,sometimes,187,very frequently,2244,diesel,large,10,11,6,5,Yes,1,0,1,1,0,1,0,0,1,2064.8
overweight,male,vegetarian,twice a day,natural gas,private,sometimes,75,very frequently,4061,hybrid,small,7,12,0,9,Yes,0,1,0,1,1,1,0,0,1,3431.34
obese,female,pescatarian,less frequently,coal,walk/bicycle,often,468,very frequently,198,lpg,small,10,6,3,8,No,1,1,0,0,0,1,0,0,0,509.99
underweight,female,omnivore,daily,wood,private,sometimes,339,never,869,petrol,small,2,9,5,11,Yes,0,1,1,1,1,0,0,1,1,932.98
normal,female,pescatarian,more frequently,electricity,walk/bicycle,sometimes,307,rarely,172,hybrid,medium,0,0,2,3,Sometimes,1,0,1,0,0,1,1,1,0,293.94
obese,female,vegan,twice a day,coal,walk/bicycle,never,476,never,3575,hybrid,small,3,0,5,2,No,0,1,0,0,1,1,0,0,0,3098.59
underweight,male,vegan,more frequently,electricity,walk/bicycle,often,221,never,703,None,extra large,2,11,2,0,Sometimes,1,0,1,0,1,1,0,0,1,737.32
underweight,female,pescatarian,daily,natural gas,walk/bicycle,often,288,very frequently,458,electric,medium,5,0,8,1,Sometimes,0,0,1,1,1,1,0,1,1,619.42
overweight,female,vegan,twice a day,coal,walk/bicycle,sometimes,477,rarely,1960,diesel,large,9,2,0,11,Sometimes,0,0,0,0,1,1,0,0,1,1891.76
overweight,female,pescatarian,daily,coal,walk/bicycle,sometimes,92,frequently,1424,diesel,large,1,0,9,0,Yes,1,1,1,1,0,1,0,0,0,1273.72
obese,male,vegetarian,daily,natural gas,walk/bicycle,often,357,frequently,778,electric,medium,6,10,3,7,Sometimes,1,0,1,0,1,1,0,1,0,880.37
normal,female,vegetarian,twice a day,coal,private,often,159,very frequently,2907,None,large,10,2,1,4,Sometimes,0,1,1,0,0,0,1,1,1,2567.57
underweight,female,vegan,twice a day,coal,public,often,438,very frequently,2953,electric,large,2,10,9,10,Sometimes,0,1,0,0,0,1,1,0,0,2633.48
obese,male,omnivore,daily,coal,private,sometimes,196,never,791,lpg,medium,0,2,3,1,Yes,1,1,0,0,1,1,0,1,0,751.44
underweight,male,vegetarian,less frequently,natural gas,walk/bicycle,sometimes,172,rarely,2871,petrol,medium,9,0,4,5,Yes,1,0,0,1,1,1,1,1,0,2508.27
underweight,male,vegan,twice a day,natural gas,walk/bicycle,often,463,very frequently,2329,electric,extra large,4,7,3,12,No,0,0,1,0,1,0,0,1,1,2172.78
normal,male,omnivore,daily,electricity,private,often,354,never,663,lpg,extra large,3,11,7,10,Yes,0,0,0,1,1,1,0,1,0,797.57
normal,male,vegan,more frequently,natural gas,public,sometimes,430,frequently,2886,petrol,small,2,2,7,4,Sometimes,1,1,1,1,0,1,0,1,0,2545.33
obese,female,pescatarian,more frequently,coal,private,sometimes,288,never,1771,hybrid,small,9,11,1,4,Sometimes,0,1,0,0,1,0,0,0,0,1667.98
normal,male,vegan,twice a day,natural gas,private,sometimes,240,never,291,electric,medium,0,3,7,0,Sometimes,1,0,0,0,0,0,1,1,1,388.36
normal,male,pescatarian,twice a day,coal,private,never,165,very frequently,3088,diesel,extra large,0,12,9,6,Yes,1,1,1,1,0,0,0,1,0,2661.78
obese,male,vegetarian,more frequently,coal,public,often,206,very frequently,4815,diesel,medium,10,11,9,3,Yes,1,0,1,0,1,0,1,1,1,4132.73
normal,male,vegetarian,daily,coal,walk/bicycle,never,381,frequently,1809,hybrid,medium,10,9,10,1,No,0,0,0,1,1,0,0,1,1,1810.78
overweight,male,vegan,daily,natural gas,public,never,256,rarely,4703,hybrid,medium,1,2,8,3,No,0,1,1,0,1,1,1,1,0,3912.15
underweight,male,omnivore,daily,coal,private,sometimes,102,frequently,321,None,medium,4,11,5,0,Yes,1,0,0,1,1,0,1,0,1,430.85
underweight,male,vegan,less frequently,electricity,private,often,147,rarely,1648,hybrid,small,3,4,3,11,Yes,0,0,1,0,1,1,0,0,0,1528.47
underweight,male,vegan,twice a day,wood,public,sometimes,77,rarely,4591,lpg,medium,5,12,0,10,No,0,0,1,1,1,1,0,0,0,3847.81
underweight,female,vegetarian,less frequently,wood,public,sometimes,262,very frequently,1421,None,large,10,6,1,0,Yes,0,1,1,1,0,0,0,0,1,1389.45
obese,female,vegetarian,less frequently,electricity,walk/bicycle,sometimes,486,frequently,1198,hybrid,small,0,9,8,2,Yes,1,1,0,1,1,0,1,1,1,1242.56
underweight,female,vegan,less frequently,wood,walk/bicycle,sometimes,194,never,2697,lpg,large,9,4,10,8,Sometimes,1,1,0,0,1,1,0,1,0,2442.43
underweight,male,vegetarian,less frequently,electricity,public,often,294,never,822,electric,extra large,7,2,2,2,Sometimes,1,0,0,0,0,1,0,0,0,868.52
underweight,male,pescatarian,daily,natural gas,walk/bicycle,often,297,frequently,219,electric,small,0,4,0,2,Sometimes,0,0,1,1,1,0,0,0,0,335.06
underweight,male,vegan,twice a day,wood,private,sometimes,387,rarely,2685,lpg,large,0,9,9,1,Sometimes,1,1,1,0,0,0,1,0,1,2313.15
overweight,female,vegetarian,twice a day,electricity,public,never,73,frequently,757,None,large,1,2,5,4,Yes,0,1,0,0,1,1,0,0,1,727.76
underweight,male,vegan,less frequently,electricity,walk/bicycle,sometimes,302,very frequently,1575,petrol,medium,1,8,5,8,No,0,0,0,0,0,1,0,1,1,1465.97
overweight,male,vegetarian,twice a day,coal,private,never,393,never,190,petrol,medium,1,2,0,1,Sometimes,0,0,0,0,1,0,0,1,1,318.74
obese,male,pescatarian,more frequently,natural gas,public,never,381,never,2683,electric,small,5,3,3,9,Sometimes,1,0,1,1,0,1,0,1,1,2412.2
normal,female,pescatarian,daily,electricity,walk/bicycle,sometimes,498,rarely,1342,electric,small,2,8,2,12,Sometimes,1,0,0,0,1,0,1,0,1,1328.65
underweight,female,vegan,twice a day,wood,private,often,85,very frequently,4968,petrol,medium,9,11,3,10,Sometimes,1,1,1,1,1,1,0,0,0,4195.45
normal,male,pescatarian,daily,coal,public,sometimes,465,frequently,686,petrol,large,4,3,1,4,Yes,1,0,0,1,1,0,0,0,1,776.37
normal,female,pescatarian,more frequently,coal,walk/bicycle,often,246,very frequently,732,lpg,small,6,11,5,0,No,1,0,0,0,0,0,0,0,1,795.6
obese,male,vegetarian,daily,coal,private,never,459,never,172,petrol,small,2,9,4,9,Yes,1,0,0,1,0,1,0,0,0,407.73
normal,male,vegan,more frequently,natural gas,private,often,233,very frequently,2280,diesel,medium,10,1,6,7,Sometimes,0,0,0,1,0,0,1,0,1,2079.1
overweight,female,vegetarian,less frequently,electricity,private,often,116,frequently,3720,petrol,medium,3,10,6,2,Sometimes,0,0,1,1,1,0,1,1,0,3131.54
normal,female,vegetarian,twice a day,natural gas,private,often,82,frequently,750,petrol,small,6,9,9,0,Sometimes,0,0,0,1,1,0,0,1,1,763.08
normal,female,omnivore,less frequently,electricity,public,sometimes,216,frequently,650,diesel,large,9,5,6,0,No,0,0,1,1,0,0,0,0,1,763.69
normal,female,pescatarian,twice a day,coal,private,never,389,rarely,84,None,small,10,4,6,4,Yes,0,1,1,0,1,0,0,1,1,367.98
underweight,male,vegetarian,less frequently,wood,public,never,235,never,3020,hybrid,medium,4,4,4,6,No,0,1,1,0,0,0,0,1,1,2616.42
underweight,male,vegetarian,more frequently,wood,public,often,61,rarely,4119,None,small,3,11,2,2,Yes,0,0,1,0,1,1,0,1,1,3429.56
overweight,female,vegetarian,twice a day,natural gas,walk/bicycle,never,294,never,4884,diesel,small,6,5,10,0,Yes,1,0,1,0,0,1,1,1,1,4169.31
overweight,female,pescatarian,less frequently,coal,public,often,133,never,4355,None,large,1,10,5,12,Sometimes,0,0,1,1,1,0,0,0,1,3649.05
underweight,male,pescatarian,daily,electricity,private,often,386,frequently,3808,electric,small,1,5,7,6,No,0,1,1,1,1,1,1,1,0,3319.98
overweight,male,pescatarian,daily,natural gas,public,often,92,frequently,4707,electric,large,0,12,1,7,Yes,1,1,0,1,0,1,1,0,0,3917.06
underweight,male,vegan,less frequently,coal,public,often,156,never,3015,electric,medium,0,8,0,0,No,0,1,0,1,0,1,0,0,1,2529.69
obese,male,vegetarian,more frequently,natural gas,walk/bicycle,sometimes,62,frequently,4340,hybrid,extra large,9,9,6,8,Sometimes,0,1,0,0,0,1,1,0,0,3640.92
normal,female,pescatarian,less frequently,wood,public,often,388,frequently,2438,hybrid,medium,8,11,4,5,Yes,1,0,0,1,1,1,0,1,1,2236.38
normal,female,vegetarian,daily,coal,walk/bicycle,never,139,frequently,384,electric,small,9,1,0,8,No,0,0,0,0,1,0,1,1,0,484.6
overweight,female,vegan,twice a day,natural gas,public,sometimes,165,very frequently,452,petrol,medium,2,2,2,10,Yes,1,0,1,0,0,0,0,1,1,501.73
underweight,male,omnivore,twice a day,electricity,walk/bicycle,never,438,rarely,1100,lpg,extra large,6,3,4,10,Sometimes,1,1,0,1,0,0,0,0,0,1161.48
underweight,male,vegan,less frequently,wood,public,sometimes,155,very frequently,3519,None,medium,9,3,9,10,Sometimes,1,1,0,1,0,1,0,1,0,3121.86
overweight,female,pescatarian,twice a day,electricity,private,often,222,very frequently,4603,lpg,small,4,1,9,2,No,0,1,0,1,1,0,0,1,1,3887.53
underweight,female,pescatarian,daily,natural gas,public,sometimes,394,rarely,496,hybrid,small,0,11,7,10,Yes,1,0,1,1,1,0,0,1,1,622.36
obese,female,vegan,twice a day,coal,walk/bicycle,never,438,very frequently,1534,None,small,7,3,1,3,Yes,0,1,1,0,0,0,1,1,1,1515.57
normal,male,vegetarian,less frequently,wood,walk/bicycle,sometimes,72,never,253,hybrid,medium,1,8,10,7,No,1,1,1,0,1,1,0,0,0,312.74
overweight,female,pescatarian,less frequently,electricity,private,sometimes,340,frequently,3413,lpg,extra large,6,7,3,1,No,1,1,1,1,0,0,1,0,1,2979.88
overweight,male,pescatarian,less frequently,electricity,private,often,290,very frequently,881,petrol,large,4,11,6,3,Sometimes,1,0,1,1,1,0,0,0,0,912.95
underweight,female,vegan,daily,coal,walk/bicycle,often,145,very frequently,428,petrol,extra large,5,9,6,5,Sometimes,0,1,1,1,0,0,1,0,0,581.03
overweight,female,vegetarian,more frequently,natural gas,private,sometimes,359,frequently,2150,hybrid,extra large,4,6,6,8,Yes,0,1,0,1,1,0,0,1,1,1952.2
obese,female,vegan,twice a day,electricity,public,often,174,frequently,1935,petrol,extra large,5,4,2,7,Yes,1,0,0,1,1,0,0,1,0,1734.98
underweight,male,vegan,less frequently,natural gas,public,often,283,rarely,4536,lpg,medium,4,11,10,1,Yes,1,1,0,1,0,1,0,0,1,3850.85
underweight,male,vegetarian,more frequently,natural gas,private,sometimes,226,never,859,hybrid,medium,3,2,6,9,Sometimes,1,0,0,1,1,1,1,1,0,885.64
underweight,male,vegetarian,less frequently,natural gas,public,never,119,frequently,438,diesel,extra large,5,11,1,8,Yes,1,0,1,0,1,0,1,0,1,516.54
underweight,male,omnivore,less frequently,coal,public,often,255,very frequently,3855,hybrid,extra large,4,11,9,0,Yes,1,0,0,1,1,1,0,1,0,3342.67
obese,male,vegan,daily,natural gas,private,sometimes,282,rarely,2319,electric,large,1,3,4,1,Sometimes,1,0,1,1,1,0,1,1,1,2022.52
underweight,male,vegetarian,daily,wood,walk/bicycle,sometimes,169,rarely,2341,petrol,extra large,6,0,1,6,Sometimes,0,1,1,1,0,1,0,1,1,2023.02
overweight,female,pescatarian,more frequently,coal,public,sometimes,342,frequently,2389,petrol,large,5,10,7,1,No,0,0,0,1,0,1,0,1,0,2119.61
obese,male,omnivore,less frequently,electricity,private,never,168,very frequently,1695,lpg,extra large,8,5,3,0,Yes,0,0,1,1,1,0,0,0,1,1560.13
normal,female,vegan,twice a day,coal,walk/bicycle,never,71,frequently,3944,hybrid,large,0,1,0,12,Yes,1,0,1,1,0,1,0,0,1,3271.19
normal,male,vegetarian,twice a day,electricity,public,never,298,rarely,1494,lpg,large,0,5,8,6,No,0,0,1,1,1,0,0,0,0,1398.8
overweight,female,omnivore,twice a day,wood,public,often,261,very frequently,2070,hybrid,medium,5,3,7,0,Sometimes,1,0,1,1,1,1,0,0,0,1853.85
overweight,female,omnivore,more frequently,natural gas,private,sometimes,441,very frequently,2648,hybrid,large,5,5,8,2,Yes,0,0,0,1,1,1,0,0,0,2399.22
obese,male,pescatarian,daily,natural gas,public,sometimes,234,rarely,985,diesel,medium,3,9,5,5,Yes,0,1,1,0,1,0,0,1,0,987.19
normal,female,omnivore,more frequently,natural gas,walk/bicycle,never,376,never,1059,petrol,medium,9,7,8,12,Sometimes,1,1,0,0,1,0,0,1,1,1206.42
normal,male,vegan,daily,natural gas,private,often,237,very frequently,433,electric,extra large,5,8,3,11,No,0,1,0,1,0,0,0,1,0,543.95
normal,male,vegetarian,twice a day,coal,private,often,232,rarely,2657,None,extra large,2,3,3,5,Sometimes,0,1,1,1,1,1,1,0,1,2253.67
normal,male,omnivore,twice a day,wood,private,sometimes,467,very frequently,1640,electric,extra large,5,0,8,10,Yes,0,0,1,1,1,1,1,0,0,1613.65
normal,male,omnivore,daily,electricity,private,never,90,very frequently,899,petrol,small,1,8,10,10,Sometimes,1,0,1,1,1,0,1,1,0,895.34
underweight,female,vegan,twice a day,coal,walk/bicycle,sometimes,77,rarely,3875,lpg,small,7,5,5,11,Yes,1,0,1,0,1,1,0,1,0,3314.32
overweight,male,pescatarian,more frequently,natural gas,walk/bicycle,never,336,very frequently,2494,electric,large,5,12,8,12,Sometimes,1,1,0,1,1,1,1,1,0,2260.34
underweight,female,pescatarian,daily,natural gas,walk/bicycle,never,70,never,1747,diesel,medium,8,4,10,1,No,0,1,1,1,1,1,0,1,0,1601.6
normal,female,vegetarian,twice a day,natural gas,walk/bicycle,sometimes,123,rarely,4989,diesel,small,8,4,10,3,Yes,1,0,1,1,1,1,1,0,1,4231.31
obese,female,vegan,less frequently,electricity,walk/bicycle,never,356,rarely,4174,None,large,2,10,5,0,Yes,1,1,1,1,1,1,1,0,1,3577.04
obese,male,pescatarian,twice a day,electricity,walk/bicycle,never,85,very frequently,4155,diesel,large,5,0,0,6,Sometimes,1,0,1,1,1,0,1,1,1,3468.77
normal,female,vegetarian,less frequently,coal,private,never,459,never,2701,electric,small,5,9,4,9,Sometimes,1,0,0,1,1,0,0,0,1,2470.36
normal,male,vegetarian,twice a day,wood,private,never,68,never,2430,diesel,medium,3,4,5,6,Sometimes,1,1,0,1,0,1,0,0,0,2120.47
obese,female,pescatarian,less frequently,electricity,private,often,311,frequently,2619,diesel,small,8,6,9,7,No,0,0,0,1,1,1,0,1,0,2401.71
underweight,male,vegan,twice a day,coal,walk/bicycle,never,225,rarely,2496,lpg,large,5,2,5,2,Yes,1,0,1,1,1,1,0,0,1,2188.26
underweight,male,omnivore,less frequently,electricity,private,never,64,very frequently,1600,petrol,large,7,11,0,0,Sometimes,1,0,1,0,0,0,1,0,0,1417.67
normal,male,pescatarian,daily,coal,walk/bicycle,never,159,very frequently,3998,electric,small,1,12,9,12,Yes,0,0,1,1,0,0,0,0,0,3389.65
underweight,male,omnivore,daily,natural gas,private,sometimes,158,frequently,4982,petrol,extra large,10,3,4,0,No,0,0,0,1,0,1,1,1,1,4219.44
obese,female,omnivore,less frequently,electricity,walk/bicycle,often,173,very frequently,3173,diesel,small,7,11,0,6,Yes,0,0,0,1,1,0,0,1,1,2719.05
underweight,female,vegan,twice a day,natural gas,walk/bicycle,never,354,never,3477,lpg,large,2,11,6,4,Sometimes,0,0,1,0,1,0,0,0,1,3011.4
normal,male,vegan,more frequently,wood,walk/bicycle,never,67,rarely,1148,petrol,large,2,4,1,2,Yes,1,1,0,1,1,1,1,0,0,1016.67
obese,female,vegetarian,more frequently,natural gas,public,sometimes,133,never,3009,hybrid,small,1,8,0,2,Yes,0,1,0,1,0,0,1,0,0,2523.62
underweight,male,vegan,more frequently,wood,public,often,242,rarely,2051,electric,large,8,2,10,12,No,0,1,0,0,0,1,1,0,1,1939.29
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,often,455,frequently,3441,diesel,large,3,2,7,7,No,1,1,0,0,1,0,0,0,0,3011.97
obese,female,pescatarian,less frequently,wood,private,often,237,rarely,216,diesel,extra large,6,7,8,9,No,1,1,1,1,1,0,0,0,1,454.53
obese,male,omnivore,daily,natural gas,walk/bicycle,never,213,never,471,hybrid,extra large,8,8,3,4,No,0,1,1,0,1,1,1,0,1,603.3
overweight,male,vegan,daily,electricity,walk/bicycle,often,417,very frequently,3527,diesel,small,0,4,0,9,Yes,0,1,1,1,0,0,0,1,1,3029.94
overweight,male,pescatarian,more frequently,coal,public,sometimes,259,rarely,1964,petrol,small,7,8,8,0,Yes,1,0,1,1,0,0,1,0,1,1876.96
obese,male,vegetarian,daily,electricity,walk/bicycle,sometimes,443,frequently,2396,diesel,large,2,3,9,1,Yes,1,1,0,1,0,1,0,1,0,2160.05
overweight,male,vegan,less frequently,coal,public,never,69,frequently,2308,None,large,0,7,0,12,Sometimes,0,0,0,1,1,1,0,0,0,1945.05
normal,female,omnivore,more frequently,natural gas,private,never,300,very frequently,4433,petrol,extra large,1,7,0,11,Sometimes,1,1,1,1,1,0,1,1,0,3751.0
normal,female,pescatarian,less frequently,electricity,private,never,162,frequently,4558,petrol,extra large,1,11,0,1,Sometimes,0,1,1,0,1,0,0,0,1,3747.5
normal,female,vegan,less frequently,coal,private,never,366,never,1786,electric,medium,3,6,0,1,No,0,1,1,1,0,1,0,0,1,1633.43
obese,male,vegan,twice a day,natural gas,walk/bicycle,sometimes,406,rarely,769,electric,medium,6,6,4,4,Yes,1,1,1,0,0,1,0,0,0,855.98
overweight,male,pescatarian,less frequently,wood,public,never,364,rarely,3934,None,medium,4,4,10,7,Sometimes,1,0,1,0,1,1,0,0,0,3426.03
overweight,male,vegetarian,twice a day,coal,walk/bicycle,never,199,never,3992,electric,small,8,2,4,5,No,0,1,1,0,0,0,1,0,0,3424.81
underweight,male,vegetarian,more frequently,wood,private,never,373,frequently,3324,None,large,4,0,1,11,Sometimes,0,1,1,0,1,1,0,0,0,2916.6
underweight,male,vegan,less frequently,electricity,walk/bicycle,never,309,never,441,electric,small,2,0,8,2,Sometimes,1,0,1,1,0,0,0,0,1,518.85
overweight,male,vegetarian,daily,coal,public,sometimes,132,rarely,3349,hybrid,extra large,5,8,3,6,Sometimes,1,0,0,1,1,1,0,1,0,2889.69
overweight,female,vegetarian,more frequently,natural gas,public,often,462,rarely,1038,hybrid,medium,0,10,3,0,Yes,0,0,1,0,0,1,1,1,1,1077.07
overweight,male,pescatarian,less frequently,natural gas,private,never,363,rarely,3629,lpg,medium,6,0,3,12,No,1,1,1,0,1,1,0,1,0,3181.86
obese,female,vegetarian,less frequently,wood,private,sometimes,107,rarely,3543,petrol,small,0,0,0,8,Sometimes,1,0,1,1,1,1,1,1,0,2940.12
overweight,male,vegetarian,daily,natural gas,private,often,103,very frequently,382,lpg,large,2,12,0,11,Sometimes,0,0,0,0,0,1,1,1,0,491.72
underweight,female,pescatarian,twice a day,electricity,walk/bicycle,sometimes,77,rarely,1273,hybrid,medium,2,2,0,5,Yes,1,0,1,0,1,0,0,0,0,1103.28
obese,male,vegan,less frequently,electricity,public,often,410,frequently,1063,None,small,5,0,4,2,Yes,1,1,1,1,1,1,0,0,1,1122.21
overweight,female,vegan,less frequently,wood,walk/bicycle,sometimes,254,never,237,None,large,1,1,0,1,Sometimes,1,0,0,1,0,0,1,0,0,328.72
underweight,female,pescatarian,daily,coal,private,never,472,frequently,837,lpg,extra large,0,4,2,6,No,1,0,1,0,0,1,0,1,0,856.96
obese,male,omnivore,more frequently,natural gas,public,often,106,rarely,4017,petrol,large,3,0,4,10,No,0,0,1,0,0,1,0,1,1,3366.54
overweight,male,pescatarian,less frequently,electricity,private,sometimes,113,frequently,4141,electric,medium,9,4,6,1,Yes,0,1,0,0,1,1,0,1,0,3561.46
overweight,female,omnivore,twice a day,coal,public,never,141,very frequently,71,diesel,extra large,2,11,0,9,Sometimes,1,0,1,1,1,1,0,0,0,198.41
overweight,male,vegetarian,twice a day,electricity,public,never,335,never,4899,hybrid,large,10,8,3,9,Yes,0,1,0,1,0,0,1,0,0,4214.65
obese,male,vegan,daily,electricity,private,often,391,rarely,2359,None,large,1,8,9,3,Yes,0,1,1,0,0,0,0,0,1,2107.88
underweight,male,omnivore,twice a day,coal,public,sometimes,483,frequently,3723,petrol,medium,6,0,2,0,Yes,1,1,0,1,0,0,1,1,0,3256.5
underweight,female,omnivore,less frequently,coal,public,never,487,very frequently,964,diesel,small,10,10,7,10,Sometimes,0,0,0,0,0,0,1,1,1,1170.11
normal,male,vegetarian,twice a day,natural gas,private,sometimes,72,very frequently,588,hybrid,small,4,4,7,5,Yes,1,1,1,0,0,1,0,1,1,642.98
overweight,female,vegan,less frequently,wood,public,never,67,very frequently,3346,petrol,medium,4,8,10,12,No,0,1,0,1,0,0,0,0,1,2845.31
normal,female,vegetarian,daily,wood,private,never,303,never,4107,hybrid,large,4,0,7,1,Yes,0,1,1,0,1,1,1,1,1,3530.95
normal,male,vegan,twice a day,electricity,walk/bicycle,never,130,frequently,4383,petrol,medium,6,12,4,11,No,1,0,1,1,0,0,1,1,0,3714.07
underweight,female,vegan,less frequently,wood,walk/bicycle,often,430,frequently,4645,hybrid,large,9,10,3,12,Yes,0,0,0,1,0,1,1,1,0,4032.79
obese,male,vegetarian,more frequently,electricity,private,sometimes,231,never,4540,hybrid,medium,3,9,10,7,Yes,0,0,1,0,0,1,0,1,1,3857.62
obese,male,omnivore,less frequently,coal,public,often,400,very frequently,4057,None,medium,0,7,3,9,Yes,1,0,1,0,1,0,1,0,1,3471.9
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,often,461,rarely,2557,electric,small,3,7,8,11,Sometimes,1,1,0,1,1,1,0,0,0,2336.63
obese,female,vegan,daily,natural gas,private,often,185,frequently,847,petrol,medium,2,11,6,10,No,1,1,1,0,1,0,1,1,0,886.1
normal,female,vegan,less frequently,electricity,private,often,465,rarely,2404,lpg,small,0,7,1,0,Yes,0,1,1,1,1,1,1,0,0,2128.28
overweight,female,pescatarian,daily,electricity,public,often,156,very frequently,3919,diesel,medium,10,4,6,8,Yes,1,1,0,1,1,1,0,1,1,3387.73
underweight,female,pescatarian,less frequently,natural gas,public,never,183,never,4477,hybrid,extra large,7,4,6,9,No,1,1,1,1,1,1,0,1,1,3805.69
overweight,male,vegetarian,less frequently,natural gas,public,never,249,rarely,3974,electric,extra large,5,9,7,7,No,0,0,1,1,0,1,0,0,1,3429.61
obese,female,vegan,less frequently,wood,private,never,423,frequently,63,None,small,9,0,7,1,Sometimes,0,1,0,0,1,0,1,0,0,363.25
overweight,male,vegetarian,daily,coal,walk/bicycle,often,303,frequently,3702,lpg,extra large,6,7,5,2,Yes,1,1,1,1,0,0,0,0,1,3210.46
obese,male,pescatarian,less frequently,coal,private,never,345,never,4220,hybrid,extra large,1,1,10,6,Sometimes,1,0,0,0,0,0,0,0,1,3641.56
obese,female,vegetarian,daily,natural gas,public,never,228,very frequently,886,petrol,large,6,8,6,6,No,1,1,0,1,0,0,1,0,0,916.14
normal,female,vegan,more frequently,coal,public,never,96,frequently,761,diesel,large,9,8,2,4,No,1,1,1,1,1,0,1,0,1,776.27
obese,female,omnivore,daily,electricity,private,often,272,frequently,1509,lpg,large,10,8,2,4,No,1,1,1,1,0,0,0,0,0,1467.82
normal,female,omnivore,more frequently,coal,public,sometimes,164,never,4237,diesel,medium,6,10,9,2,Yes,0,1,0,1,1,1,1,1,1,3600.02
normal,female,vegan,daily,natural gas,public,sometimes,375,rarely,36,hybrid,extra large,1,7,0,4,No,1,1,1,1,0,0,0,0,0,185.19
normal,male,vegetarian,daily,coal,private,never,245,very frequently,4679,electric,extra large,9,6,7,2,Sometimes,1,0,0,0,0,1,1,0,0,4037.0
underweight,male,pescatarian,less frequently,natural gas,walk/bicycle,often,440,rarely,4915,None,small,1,9,0,0,No,0,0,1,1,1,0,0,1,1,4126.11
underweight,male,pescatarian,twice a day,wood,public,sometimes,298,very frequently,1993,None,extra large,10,2,10,1,Sometimes,0,1,0,0,1,1,0,1,0,1899.55
obese,female,omnivore,twice a day,natural gas,walk/bicycle,never,275,rarely,1696,lpg,small,9,10,10,4,Sometimes,0,0,0,1,0,0,1,1,1,1657.59
normal,female,vegetarian,less frequently,electricity,walk/bicycle,often,332,rarely,356,hybrid,extra large,0,9,8,9,Sometimes,0,1,0,1,1,1,1,1,0,536.11
underweight,male,pescatarian,more frequently,electricity,walk/bicycle,sometimes,499,frequently,915,None,extra large,2,1,6,11,Yes,0,0,0,1,1,1,0,1,0,1005.38
normal,female,pescatarian,less frequently,electricity,walk/bicycle,sometimes,103,rarely,2883,hybrid,medium,6,8,1,2,Sometimes,0,1,1,0,1,1,1,0,0,2467.09
overweight,female,vegan,twice a day,natural gas,public,often,191,very frequently,2546,None,extra large,1,12,3,4,No,1,1,1,1,1,0,1,1,0,2242.9
overweight,female,vegetarian,daily,natural gas,public,sometimes,282,never,188,diesel,extra large,6,12,8,10,No,1,1,1,0,0,1,1,0,1,460.85
overweight,male,vegetarian,less frequently,electricity,private,never,199,never,2926,electric,small,2,5,8,6,No,0,1,1,1,1,1,1,1,1,2574.82
obese,female,pescatarian,more frequently,coal,public,never,246,rarely,3285,lpg,medium,4,3,0,7,Yes,1,0,0,1,0,1,0,1,0,2803.28
