Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,CarbonEmission,"['Grill', 'Airfryer']","['Microwave', 'Grill', 'Airfryer']",['Microwave'],"['Oven', 'Grill', 'Airfryer']","['Oven', 'Microwave', 'Grill', 'Airfryer']","['Oven', 'Microwave']",['Oven'],"['Stove', 'Grill', 'Airfryer']","['Stove', 'Microwave', 'Grill', 'Airfryer']","['Stove', 'Microwave']","['Stove', 'Oven', 'Grill', 'Airfryer']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']","['Stove', 'Oven', 'Microwave']","['Stove', 'Oven']",['Stove'],[]
normal,female,vegan,daily,coal,public,,never,60,frequently,616,large,3,4,18,8,No,['Glass'],1711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,vegan,daily,electricity,public,,often,73,frequently,998,large,3,8,1,0,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",1095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,vegan,twice a day,electricity,private,hybrid,often,182,very frequently,2791,medium,5,6,41,8,No,['Plastic'],3326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,female,vegan,less frequently,wood,walk/bicycle,,never,192,very frequently,45,small,7,20,2,1,Sometimes,['Paper'],2127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegetarian,less frequently,electricity,private,diesel,never,259,frequently,6207,large,7,16,3,6,Yes,"['Paper', 'Metal']",2929,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,vegan,twice a day,wood,public,,often,210,very frequently,1960,medium,1,14,1,19,Sometimes,"['Glass', 'Metal']",2161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
normal,male,vegetarian,more frequently,natural gas,private,petrol,sometimes,96,frequently,1614,extra large,1,3,18,8,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",1952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegan,less frequently,coal,private,electric,never,187,rarely,5175,small,6,6,44,13,Yes,['Glass'],1650,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,male,pescatarian,daily,electricity,public,,often,84,rarely,952,small,7,19,49,16,No,"['Paper', 'Plastic', 'Glass']",1672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,female,pescatarian,daily,coal,private,hybrid,never,132,rarely,5738,medium,3,20,20,23,Sometimes,"['Paper', 'Plastic', 'Metal']",2240,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,vegan,twice a day,coal,private,hybrid,sometimes,141,rarely,8317,medium,6,12,45,9,Sometimes,['Paper'],3238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overweight,female,vegetarian,twice a day,wood,walk/bicycle,,often,275,rarely,11,extra large,7,15,24,3,No,"['Paper', 'Plastic', 'Metal']",2045,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
normal,male,vegan,daily,wood,walk/bicycle,,never,269,very frequently,52,extra large,6,12,15,1,Yes,"['Paper', 'Plastic', 'Glass']",2563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegan,twice a day,electricity,public,,often,176,very frequently,833,small,7,1,44,6,Sometimes,"['Plastic', 'Glass']",3094,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
normal,female,omnivore,less frequently,coal,public,,never,55,frequently,452,medium,4,5,13,6,Sometimes,"['Paper', 'Plastic']",1499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegan,twice a day,wood,public,,often,158,rarely,590,extra large,1,16,30,1,Yes,"['Paper', 'Glass']",1171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,pescatarian,less frequently,coal,public,,never,157,never,1840,medium,2,19,15,24,Sometimes,['Glass'],1814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,female,vegetarian,daily,coal,private,lpg,often,296,frequently,1060,medium,1,6,47,10,No,[],2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
normal,male,vegan,daily,natural gas,private,hybrid,often,108,never,5074,small,1,11,19,7,Yes,"['Plastic', 'Glass']",1818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obese,male,omnivore,more frequently,natural gas,public,,never,176,rarely,1134,extra large,3,7,0,10,No,"['Paper', 'Plastic', 'Glass']",1559,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,male,omnivore,more frequently,coal,private,electric,sometimes,60,frequently,1518,extra large,2,20,28,14,Sometimes,"['Plastic', 'Metal']",2458,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
overweight,male,omnivore,twice a day,wood,public,,sometimes,138,very frequently,1801,small,5,3,9,11,Yes,"['Paper', 'Plastic']",2646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegetarian,daily,wood,public,,sometimes,202,rarely,1903,large,4,9,14,22,Yes,['Glass'],1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
underweight,male,pescatarian,less frequently,natural gas,public,,sometimes,60,never,770,medium,4,8,29,2,Yes,"['Paper', 'Glass', 'Metal']",971,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,female,omnivore,less frequently,coal,walk/bicycle,,never,185,frequently,0,small,4,4,11,0,Yes,['Metal'],1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,never,205,rarely,10,medium,1,12,50,2,Sometimes,"['Paper', 'Metal']",1514,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
normal,male,omnivore,twice a day,wood,private,hybrid,sometimes,212,rarely,2801,large,7,21,30,13,Sometimes,"['Plastic', 'Glass']",2738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
overweight,male,pescatarian,less frequently,wood,private,diesel,often,69,frequently,8272,large,4,17,39,21,Sometimes,"['Plastic', 'Glass']",4981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
normal,male,pescatarian,daily,wood,walk/bicycle,,often,81,very frequently,85,large,7,17,20,8,No,"['Paper', 'Plastic', 'Metal']",2871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
normal,male,omnivore,twice a day,coal,public,,sometimes,109,frequently,785,extra large,7,11,30,1,No,['Glass'],3062,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,pescatarian,twice a day,natural gas,private,electric,often,294,never,9740,large,2,1,22,4,No,"['Paper', 'Metal']",1041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,female,vegan,less frequently,natural gas,public,,sometimes,217,frequently,434,medium,3,22,10,16,Sometimes,"['Paper', 'Plastic', 'Glass']",1614,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,,never,247,never,31,small,7,19,27,23,No,"['Paper', 'Glass', 'Metal']",1243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
normal,female,pescatarian,more frequently,coal,public,,often,77,never,1262,large,4,23,1,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']",998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,daily,natural gas,walk/bicycle,,often,208,very frequently,82,small,3,10,33,18,No,"['Paper', 'Plastic', 'Metal']",3383,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,vegetarian,less frequently,natural gas,public,,sometimes,200,rarely,324,extra large,3,8,19,8,No,['Paper'],1553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,98,rarely,79,small,2,18,22,23,No,['Glass'],1255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,vegetarian,twice a day,natural gas,private,petrol,never,185,frequently,4579,small,6,5,2,1,Yes,"['Glass', 'Metal']",2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
obese,male,vegan,more frequently,coal,walk/bicycle,,never,203,rarely,9,large,3,1,11,10,Sometimes,['Plastic'],1920,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
normal,female,pescatarian,twice a day,coal,private,petrol,often,292,never,6734,small,6,17,43,15,No,['Glass'],4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
underweight,female,vegetarian,more frequently,electricity,private,hybrid,often,134,rarely,2226,extra large,3,18,50,19,Yes,['Paper'],1807,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
underweight,female,omnivore,less frequently,electricity,public,,often,217,rarely,895,small,6,14,50,19,Yes,['Metal'],1550,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
overweight,female,vegetarian,less frequently,wood,public,,often,118,frequently,1383,large,3,16,49,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",2033,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
obese,male,pescatarian,daily,electricity,walk/bicycle,,sometimes,84,rarely,8,large,5,19,15,20,Sometimes,['Glass'],1828,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,often,283,very frequently,39,extra large,6,10,13,2,No,"['Plastic', 'Glass', 'Metal']",3053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,265,rarely,57,large,1,20,41,18,Yes,"['Plastic', 'Glass', 'Metal']",1320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,vegan,less frequently,coal,public,,sometimes,201,very frequently,407,medium,3,3,25,12,No,"['Glass', 'Metal']",2109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
underweight,male,vegan,daily,coal,private,hybrid,sometimes,265,rarely,414,medium,4,8,28,20,Yes,['Plastic'],1715,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,female,vegan,daily,wood,walk/bicycle,,often,84,never,69,medium,7,23,7,19,No,"['Paper', 'Plastic', 'Glass', 'Metal']",1124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,vegetarian,more frequently,electricity,private,hybrid,often,102,rarely,6926,small,2,12,41,11,Yes,"['Paper', 'Glass']",1939,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
normal,female,vegetarian,daily,wood,public,,sometimes,249,never,361,large,2,3,10,19,No,"['Paper', 'Metal']",888,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
obese,male,pescatarian,more frequently,coal,public,,often,170,rarely,1496,small,1,4,41,11,Sometimes,"['Paper', 'Plastic']",2379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,vegan,daily,wood,walk/bicycle,,sometimes,75,frequently,59,large,6,4,38,24,No,"['Paper', 'Plastic', 'Glass', 'Metal']",1971,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
obese,female,vegan,daily,wood,public,,never,121,very frequently,752,small,1,14,21,3,No,"['Paper', 'Glass']",2268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
normal,male,vegan,more frequently,natural gas,private,diesel,sometimes,228,rarely,8003,extra large,7,18,24,5,Yes,"['Plastic', 'Glass']",4299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,female,vegetarian,more frequently,electricity,private,hybrid,often,196,rarely,5308,large,5,10,18,14,Yes,['Plastic'],2297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
obese,male,omnivore,less frequently,electricity,public,,often,121,rarely,235,small,5,0,4,18,No,"['Paper', 'Glass']",1213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,omnivore,daily,coal,private,diesel,often,227,frequently,6512,small,1,21,49,19,Sometimes,"['Paper', 'Metal']",4048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
obese,male,pescatarian,daily,coal,walk/bicycle,,sometimes,287,rarely,7,small,2,2,25,16,No,"['Plastic', 'Metal']",1950,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
overweight,female,omnivore,less frequently,wood,public,,never,58,rarely,1901,small,5,20,15,0,No,"['Glass', 'Metal']",1149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,female,pescatarian,more frequently,wood,public,,often,114,never,1334,large,4,24,26,6,Yes,"['Paper', 'Glass', 'Metal']",1365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,male,vegetarian,more frequently,coal,private,electric,often,219,rarely,6840,large,7,15,24,7,No,"['Paper', 'Glass']",1966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,pescatarian,daily,wood,walk/bicycle,,sometimes,57,very frequently,70,large,2,1,13,0,Sometimes,['Plastic'],1965,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overweight,male,omnivore,daily,coal,private,diesel,never,133,very frequently,3371,small,6,3,43,12,Sometimes,"['Paper', 'Glass', 'Metal']",3934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
normal,male,omnivore,more frequently,wood,private,petrol,never,183,never,8669,small,5,10,31,17,Sometimes,"['Plastic', 'Metal']",4684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,female,vegan,more frequently,electricity,walk/bicycle,,never,128,frequently,70,extra large,4,7,10,18,Yes,"['Paper', 'Glass']",1564,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
normal,male,vegetarian,twice a day,coal,public,,often,281,frequently,98,large,5,16,19,19,Yes,[],2677,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,female,vegetarian,more frequently,natural gas,walk/bicycle,,sometimes,242,rarely,22,medium,7,5,13,8,Yes,"['Plastic', 'Glass', 'Metal']",1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,208,very frequently,96,extra large,4,17,50,12,No,['Plastic'],3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
underweight,male,pescatarian,less frequently,natural gas,public,,sometimes,255,rarely,282,extra large,1,8,14,9,Yes,['Paper'],1279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
obese,male,omnivore,more frequently,electricity,private,petrol,often,241,very frequently,4501,extra large,1,3,25,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",4878,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
underweight,male,pescatarian,less frequently,natural gas,public,,sometimes,63,rarely,1561,large,4,18,29,2,No,"['Plastic', 'Metal']",1547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
normal,male,vegan,more frequently,wood,private,hybrid,never,261,never,7084,small,6,19,18,23,Sometimes,['Paper'],2398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,female,omnivore,more frequently,coal,private,hybrid,often,217,very frequently,2258,medium,4,11,22,1,Yes,"['Paper', 'Plastic', 'Metal']",2717,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegan,daily,electricity,private,hybrid,often,155,rarely,8070,small,1,20,34,21,No,"['Paper', 'Glass']",2671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,,often,234,never,37,small,7,13,11,14,Yes,['Plastic'],1209,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
underweight,male,vegan,daily,natural gas,private,lpg,never,151,very frequently,5123,large,1,2,18,14,Yes,"['Plastic', 'Metal']",3566,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,often,285,never,15,extra large,5,1,23,9,No,['Metal'],1737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
obese,male,vegan,less frequently,electricity,walk/bicycle,,never,143,rarely,5,small,4,18,10,23,Sometimes,"['Glass', 'Metal']",1007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,vegetarian,daily,natural gas,private,petrol,never,168,frequently,7584,large,5,15,48,23,Yes,"['Paper', 'Glass']",4851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
obese,female,omnivore,less frequently,wood,walk/bicycle,,often,129,never,12,medium,5,8,14,16,Sometimes,['Glass'],1459,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
underweight,male,pescatarian,more frequently,coal,private,lpg,often,95,rarely,3287,medium,7,14,39,23,No,[],3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,male,vegetarian,daily,wood,public,,never,224,never,1980,small,1,11,6,5,No,"['Plastic', 'Glass', 'Metal']",916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,male,vegetarian,more frequently,natural gas,private,electric,sometimes,104,frequently,520,small,3,17,36,17,Sometimes,"['Plastic', 'Metal']",2214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
overweight,female,omnivore,daily,electricity,private,petrol,never,221,rarely,353,extra large,3,1,13,19,Sometimes,"['Plastic', 'Glass']",1469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,female,omnivore,less frequently,electricity,public,,often,172,frequently,1002,extra large,1,12,42,19,No,"['Paper', 'Glass']",1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
normal,female,vegetarian,less frequently,natural gas,private,electric,often,185,never,1059,medium,6,19,29,5,No,"['Plastic', 'Glass', 'Metal']",1308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
obese,male,vegetarian,more frequently,natural gas,private,electric,often,290,never,1454,extra large,1,10,19,9,Yes,"['Plastic', 'Metal']",1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
normal,female,vegan,less frequently,coal,public,,never,66,frequently,408,medium,5,24,22,5,Yes,"['Plastic', 'Metal']",1663,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
underweight,female,vegetarian,less frequently,wood,private,diesel,never,60,very frequently,42,large,3,1,29,1,No,"['Paper', 'Plastic', 'Glass', 'Metal']",1912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegan,less frequently,natural gas,private,electric,often,225,frequently,4955,extra large,5,2,0,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']",1828,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
obese,male,omnivore,less frequently,wood,walk/bicycle,,never,85,very frequently,10,large,6,18,23,6,No,"['Paper', 'Plastic']",3346,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
obese,male,omnivore,daily,coal,private,lpg,sometimes,65,frequently,2430,large,4,12,19,8,No,"['Paper', 'Plastic']",3340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
normal,male,pescatarian,twice a day,natural gas,public,,sometimes,83,frequently,840,extra large,5,13,29,23,Yes,"['Paper', 'Plastic']",2446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,female,vegan,more frequently,natural gas,walk/bicycle,,often,251,very frequently,93,large,4,17,9,24,Yes,"['Paper', 'Plastic']",2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
normal,female,vegan,more frequently,wood,private,diesel,sometimes,85,frequently,5608,large,4,1,6,16,Yes,['Plastic'],2859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,pescatarian,less frequently,coal,walk/bicycle,,never,235,frequently,39,small,2,1,36,3,Sometimes,"['Paper', 'Plastic', 'Glass']",1876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,female,omnivore,more frequently,natural gas,walk/bicycle,,never,126,never,16,large,3,13,33,4,No,['Paper'],1335,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,female,vegan,less frequently,natural gas,public,,never,279,never,426,extra large,6,20,33,1,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",1320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
obese,female,vegan,twice a day,electricity,public,,often,184,frequently,1234,medium,1,13,39,21,No,['Paper'],2200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,female,vegan,less frequently,natural gas,public,,often,185,rarely,1489,large,5,23,14,1,Sometimes,"['Plastic', 'Glass', 'Metal']",1249,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
obese,male,pescatarian,less frequently,electricity,private,hybrid,sometimes,79,very frequently,2583,small,5,19,17,6,Yes,['Metal'],3074,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
normal,female,vegetarian,twice a day,natural gas,private,electric,sometimes,120,very frequently,115,medium,2,11,49,17,No,"['Plastic', 'Glass']",2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,female,pescatarian,more frequently,wood,walk/bicycle,,often,112,very frequently,53,large,4,6,20,4,Sometimes,"['Plastic', 'Glass', 'Metal']",2524,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
overweight,female,vegetarian,more frequently,wood,public,,never,114,never,1555,large,4,19,15,2,Sometimes,[],1351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
obese,male,vegan,more frequently,wood,private,lpg,sometimes,271,rarely,8169,large,6,21,7,21,Yes,"['Paper', 'Plastic', 'Glass']",4550,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
obese,female,vegetarian,more frequently,wood,walk/bicycle,,never,275,never,28,extra large,1,4,32,17,No,"['Plastic', 'Glass']",1440,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,male,omnivore,less frequently,coal,public,,often,253,never,505,extra large,2,24,0,6,Yes,"['Paper', 'Plastic']",1607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,pescatarian,daily,coal,public,,often,158,never,948,small,5,12,32,12,Yes,"['Plastic', 'Metal']",1560,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
underweight,female,pescatarian,daily,electricity,public,,sometimes,247,never,712,large,1,2,17,5,Sometimes,"['Glass', 'Metal']",675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,vegan,daily,wood,private,electric,never,109,very frequently,3363,large,6,17,22,20,Yes,"['Plastic', 'Metal']",2971,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
overweight,female,vegetarian,less frequently,wood,walk/bicycle,,never,271,never,49,extra large,1,13,33,7,Sometimes,"['Paper', 'Metal']",1075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,,sometimes,294,rarely,11,large,6,14,13,23,Sometimes,"['Paper', 'Plastic', 'Glass']",1528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,less frequently,coal,private,petrol,never,87,very frequently,9096,medium,2,11,43,4,Sometimes,"['Paper', 'Glass']",7226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,female,omnivore,daily,coal,private,diesel,never,88,very frequently,8948,small,1,16,5,3,Yes,"['Paper', 'Metal']",3495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,,sometimes,91,rarely,43,medium,2,16,26,19,Yes,[],1537,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
obese,male,pescatarian,more frequently,wood,walk/bicycle,,never,227,very frequently,2,medium,6,18,10,23,No,"['Glass', 'Metal']",3189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
obese,male,vegan,twice a day,wood,private,petrol,sometimes,246,very frequently,9739,extra large,1,5,21,21,No,"['Paper', 'Plastic', 'Glass', 'Metal']",7337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
obese,male,vegan,daily,wood,public,,often,162,frequently,546,extra large,5,21,17,12,Sometimes,"['Paper', 'Metal']",2936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
underweight,male,vegetarian,more frequently,wood,public,,often,170,frequently,1316,large,4,6,46,3,Yes,"['Plastic', 'Glass', 'Metal']",2344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
obese,female,omnivore,more frequently,coal,private,diesel,often,97,rarely,1212,extra large,1,17,35,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']",2097,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
overweight,female,vegan,more frequently,wood,walk/bicycle,,often,155,very frequently,17,extra large,5,7,27,10,Yes,"['Paper', 'Glass', 'Metal']",2760,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegetarian,daily,coal,private,lpg,never,121,never,7011,small,2,22,27,1,Sometimes,"['Paper', 'Plastic']",3131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
overweight,male,vegan,less frequently,electricity,public,,never,294,very frequently,1056,medium,1,24,2,7,Yes,"['Paper', 'Glass']",1960,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
obese,female,omnivore,daily,natural gas,private,electric,often,202,frequently,7892,medium,3,4,49,10,No,"['Paper', 'Plastic', 'Glass']",2349,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
overweight,male,vegan,daily,wood,public,,never,275,never,657,extra large,2,9,38,11,Yes,['Paper'],1557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegan,daily,wood,walk/bicycle,,sometimes,289,rarely,40,small,3,4,15,7,Sometimes,"['Paper', 'Plastic', 'Glass']",919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,omnivore,daily,natural gas,public,,sometimes,246,never,1191,extra large,1,15,3,4,Sometimes,"['Paper', 'Glass', 'Metal']",952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obese,male,omnivore,daily,natural gas,private,electric,often,107,rarely,2434,small,5,19,39,20,Sometimes,"['Paper', 'Plastic']",2057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
obese,female,vegetarian,daily,electricity,private,electric,often,132,very frequently,8052,extra large,1,19,17,6,Yes,['Plastic'],2415,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
overweight,female,vegan,daily,coal,private,diesel,often,222,frequently,740,medium,1,13,36,23,Sometimes,['Glass'],2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,male,vegetarian,more frequently,electricity,private,lpg,often,286,rarely,3370,large,2,8,12,16,No,"['Paper', 'Plastic']",2457,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,omnivore,less frequently,wood,private,petrol,sometimes,133,never,1041,large,2,4,50,6,Sometimes,"['Paper', 'Plastic']",1780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
underweight,male,vegan,more frequently,coal,private,electric,often,82,never,8941,medium,4,17,26,16,No,"['Paper', 'Plastic']",1510,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
obese,female,vegetarian,more frequently,electricity,private,petrol,never,156,frequently,8541,small,4,22,5,13,Sometimes,"['Paper', 'Plastic', 'Metal']",4506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
obese,male,omnivore,daily,natural gas,public,,never,172,frequently,353,large,3,0,27,24,No,"['Plastic', 'Metal']",2584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
